caseid,processname,processversion,archiveddate,status
57382,Project_Creation,1.6.0.3,22/03/2018_03:49:42;,delete
56930,OOFVendorDocProcessing,5.6,22/03/2018_03:50:23;,delete
57383,OOFVendorDocProcessing,5.6,22/03/2018_03:50:27;,delete
56978,Project_Creation,1.6.0.3,22/03/2018_03:56:52;,delete
56979,Project_Creation,1.6.0.3,22/03/2018_03:56:55;,delete
56981,Project_Creation,1.6.0.3,22/03/2018_04:59:10;,delete
56982,Project_Creation,1.6.0.3,22/03/2018_05:02:53;,delete
57395,Project_Creation,1.6.0.3,22/03/2018_05:03:12;,delete
56983,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:12:51;,delete
57405,Project_Creation,1.6.0.3,22/03/2018_05:14:42;,delete
56984,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:22:58;,delete
56985,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:24:50;,delete
56986,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:28:45;,delete
56987,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:31:01;,delete
57430,Project_Creation,1.6.0.3,22/03/2018_05:36:08;,delete
57444,Project_Creation,1.6.0.3,22/03/2018_05:40:00;,delete
56991,Project_Creation,1.6.0.3,22/03/2018_05:43:37;,delete
58009,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:56:32;,delete
57453,Project_Creation,1.6.0.3,22/03/2018_05:57:41;,delete
58011,Project_Creation,1.6.0.3,22/03/2018_05:58:05;,delete
58012,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_05:58:11;,delete
58019,Project_Creation,1.6.0.3,22/03/2018_06:02:16;,delete
58020,Project_Creation,1.6.0.3,22/03/2018_06:04:39;,delete
57496,Project_Creation,1.6.0.3,22/03/2018_06:10:37;,delete
57503,Project_Creation,1.6.0.3,22/03/2018_06:15:27;,delete
58041,Project_Creation,1.6.0.3,22/03/2018_06:26:28;,delete
57522,Project_Creation,1.6.0.3,22/03/2018_06:32:57;,delete
57537,Project_Creation,1.6.0.3,22/03/2018_06:35:53;,delete
58074,Project_Creation,1.6.0.3,22/03/2018_06:57:05;,delete
58075,Project_Creation,1.6.0.3,22/03/2018_06:58:49;,delete
57556,Project_Creation,1.6.0.3,22/03/2018_06:58:50;,delete
57557,Project_Creation,1.6.0.3,22/03/2018_07:02:56;,delete
57558,Project_Creation,1.6.0.3,22/03/2018_07:03:00;,delete
58077,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_07:05:27;,delete
57559,Project_Creation,1.6.0.3,22/03/2018_07:12:28;,delete
57560,Project_Creation,1.6.0.3,22/03/2018_07:19:08;,delete
58087,Project_Creation,1.6.0.3,22/03/2018_07:19:11;,delete
58089,Project_Creation,1.6.0.3,22/03/2018_07:22:56;,delete
57561,Project_Creation,1.6.0.3,22/03/2018_07:24:48;,delete
58088,OOFVendorDocProcessing,5.6,22/03/2018_07:30:23;,delete
58093,Project_Creation,1.6.0.3,22/03/2018_07:34:34;,delete
58124,Project_Creation,1.6.0.3,22/03/2018_07:48:04;,delete
58134,Project_Creation,1.6.0.3,22/03/2018_08:08:38;,delete
58147,Project_Creation,1.6.0.3,22/03/2018_08:09:30;,delete
58149,Project_Creation,1.6.0.3,22/03/2018_08:12:02;,delete
57562,COE_OneNetwork_CardAdd_Pool,3.2.8.7,22/03/2018_08:17:10;,delete
58153,Project_Creation,1.6.0.3,22/03/2018_08:28:51;,delete
58173,Project_Creation,1.6.0.3,22/03/2018_08:33:34;,delete
58180,Project_Creation,1.6.0.3,22/03/2018_08:33:42;,delete
58182,Project_Creation,1.6.0.3,22/03/2018_08:38:11;,delete
58191,Project_Creation,1.6.0.3,22/03/2018_08:40:23;,delete
58193,Project_Creation,1.6.0.3,22/03/2018_08:41:07;,delete
58209,Project_Creation,1.6.0.3,22/03/2018_08:41:11;,delete
58208,Project_Creation,1.6.0.3,22/03/2018_08:41:11;,delete
58211,Project_Creation,1.6.0.3,22/03/2018_08:41:12;,delete
58218,Project_Creation,1.6.0.3,22/03/2018_08:41:13;,delete
58227,Project_Creation,1.6.0.3,22/03/2018_08:41:17;,delete
58228,Project_Creation,1.6.0.3,22/03/2018_08:41:47;,delete
58243,Project_Creation,1.6.0.3,22/03/2018_08:42:00;,delete
58244,Project_Creation,1.6.0.3,22/03/2018_08:58:23;,delete
58252,Project_Creation,1.6.0.3,22/03/2018_09:02:41;,delete
58264,Project_Creation,1.6.0.3,22/03/2018_09:07:09;,delete
58280,Project_Creation,1.6.0.3,22/03/2018_09:16:08;,delete
58296,Project_Creation,1.6.0.3,22/03/2018_09:20:48;,delete
58303,Project_Creation,1.6.0.3,22/03/2018_09:23:26;,delete
58304,Project_Creation,1.6.0.3,22/03/2018_09:33:34;,delete
58310,Project_Creation,1.6.0.3,22/03/2018_09:42:04;,delete
58316,Project_Creation,1.6.0.3,22/03/2018_09:43:28;,delete
58317,Project_Creation,1.6.0.3,22/03/2018_09:45:08;,delete
58318,Project_Creation,1.6.0.3,22/03/2018_09:56:36;,delete
58320,Project_Creation,1.6.0.3,22/03/2018_09:56:44;,delete
58329,Project_Creation,1.6.0.3,22/03/2018_09:58:56;,delete
58341,Project_Creation,1.6.0.3,22/03/2018_10:09:26;,delete
58342,Project_Creation,1.6.0.3,22/03/2018_10:09:33;,delete
58343,Project_Creation,1.6.0.3,22/03/2018_10:09:33;,delete
58344,Project_Creation,1.6.0.3,22/03/2018_10:09:34;,delete
58359,Project_Creation,1.6.0.3,22/03/2018_10:14:08;,delete
58360,Project_Creation,1.6.0.3,22/03/2018_10:18:33;,delete
58368,Project_Creation,1.6.0.3,22/03/2018_10:20:30;,delete
57607,Project_Creation,1.6.0.3,22/03/2018_10:25:25;,delete
57612,Project_Creation,1.6.0.3,22/03/2018_10:25:25;,delete
58078,OOFVendorDocProcessing,5.6,22/03/2018_10:26:28;,delete
58219,OOFVendorDocProcessing,5.6,22/03/2018_10:26:28;,delete
58076,OOFVendorDocProcessing,5.6,22/03/2018_10:27:54;,delete
59100,Project_Creation,1.6.0.3,22/03/2018_10:29:37;,delete
59119,Project_Creation,1.6.0.3,22/03/2018_10:31:29;,delete
59123,Project_Creation,1.6.0.3,22/03/2018_10:37:52;,delete
59136,Project_Creation,1.6.0.3,22/03/2018_10:45:07;,delete
57622,Project_Creation,1.6.0.3,22/03/2018_10:45:13;,delete
60031,Project_Creation,1.6.0.3,22/03/2018_10:45:25;,delete
59153,Project_Creation,1.6.0.3,22/03/2018_10:46:19;,delete
59173,Project_Creation,1.6.0.3,22/03/2018_10:55:04;,delete
59174,Project_Creation,1.6.0.3,22/03/2018_10:57:58;,delete
59180,Project_Creation,1.6.0.3,22/03/2018_11:01:42;,delete
59189,Project_Creation,1.6.0.3,22/03/2018_11:02:04;,delete
59190,Project_Creation,1.6.0.3,22/03/2018_11:02:37;,delete
60111,Project_Creation,1.6.0.3,22/03/2018_11:11:58;,delete
59207,Project_Creation,1.6.0.3,22/03/2018_11:14:53;,delete
59221,Project_Creation,1.6.0.3,22/03/2018_11:18:38;,delete
60135,Project_Creation,1.6.0.3,22/03/2018_11:18:41;,delete
60137,Project_Creation,1.6.0.3,22/03/2018_11:18:52;,delete
59235,Project_Creation,1.6.0.3,22/03/2018_11:18:54;,delete
60151,Project_Creation,1.6.0.3,22/03/2018_11:18:56;,delete
59249,Project_Creation,1.6.0.3,22/03/2018_11:33:36;,delete
59258,Project_Creation,1.6.0.3,22/03/2018_11:37:19;,delete
60167,Project_Creation,1.6.0.3,22/03/2018_11:52:14;,delete
59269,Project_Creation,1.6.0.3,22/03/2018_12:15:05;,delete
60168,Project_Creation,1.6.0.3,22/03/2018_12:18:08;,delete
59278,Project_Creation,1.6.0.3,22/03/2018_12:28:40;,delete
60177,Project_Creation,1.6.0.3,22/03/2018_12:31:29;,delete
59287,Project_Creation,1.6.0.3,22/03/2018_12:32:33;,delete
60178,Project_Creation,1.6.0.3,22/03/2018_12:32:35;,delete
59288,Project_Creation,1.6.0.3,22/03/2018_12:33:32;,delete
60190,Project_Creation,1.6.0.3,22/03/2018_12:51:28;,delete
60199,Project_Creation,1.6.0.3,22/03/2018_12:58:16;,delete
60200,Project_Creation,1.6.0.3,22/03/2018_13:07:23;,delete
60201,Project_Creation,1.6.0.3,22/03/2018_13:12:04;,delete
60202,Project_Creation,1.6.0.3,22/03/2018_13:13:04;,delete
60203,Project_Creation,1.6.0.3,22/03/2018_13:17:02;,delete
59319,Project_Creation,1.6.0.3,22/03/2018_13:17:05;,delete
60205,Project_Creation,1.6.0.3,22/03/2018_13:19:51;,delete
59321,VNSP_WF_ORDER_COLLECTION,1.2,22/03/2018_13:21:44;,delete
60214,Project_Creation,1.6.0.3,22/03/2018_13:35:19;,delete
59331,Project_Creation,1.6.0.3,22/03/2018_13:52:06;,delete
59340,Project_Creation,1.6.0.3,22/03/2018_13:56:34;,delete
60215,Project_Creation,1.6.0.3,22/03/2018_14:09:21;,delete
59350,Project_Creation,1.6.0.3,22/03/2018_14:09:22;,delete
59349,Project_Creation,1.6.0.3,22/03/2018_14:09:22;,delete
59370,Project_Creation,1.6.0.3,22/03/2018_14:09:28;,delete
59386,Project_Creation,1.6.0.3,22/03/2018_14:09:32;,delete
60222,Project_Creation,1.6.0.3,22/03/2018_14:09:32;,delete
59397,Project_Creation,1.6.0.3,22/03/2018_14:09:50;,delete
59407,Project_Creation,1.6.0.3,22/03/2018_14:09:54;,delete
59431,Project_Creation,1.6.0.3,22/03/2018_14:10:13;,delete
60241,Project_Creation,1.6.0.3,22/03/2018_14:10:37;,delete
60257,Project_Creation,1.6.0.3,22/03/2018_14:11:53;,delete
60258,Project_Creation,1.6.0.3,22/03/2018_14:12:00;,delete
59446,Project_Creation,1.6.0.3,22/03/2018_14:12:26;,delete
60270,Project_Creation,1.6.0.3,22/03/2018_14:14:19;,delete
60277,Project_Creation,1.6.0.3,22/03/2018_14:16:30;,delete
60316,Project_Creation,1.6.0.3,22/03/2018_14:24:09;,delete
60325,Project_Creation,1.6.0.3,22/03/2018_14:25:00;,delete
60356,Project_Creation,1.6.0.3,22/03/2018_14:31:39;,delete
59475,CancelNFIDProcess,1.6.8,22/03/2018_14:32:33;,delete
60368,Project_Creation,1.6.0.3,22/03/2018_14:32:58;,delete
60377,CancelNFIDProcess,1.6.8,22/03/2018_14:33:21;,delete
59496,Project_Creation,1.6.0.3,22/03/2018_14:34:22;,delete
60381,Project_Creation,1.6.0.3,22/03/2018_14:37:19;,delete
59513,Project_Creation,1.6.0.3,22/03/2018_14:37:47;,delete
60382,Project_Creation,1.6.0.3,22/03/2018_14:37:47;,delete
60383,Project_Creation,1.6.0.3,22/03/2018_14:37:48;,delete
59514,Project_Creation,1.6.0.3,22/03/2018_14:37:48;,delete
60412,Project_Creation,1.6.0.3,22/03/2018_14:38:07;,delete
59543,Project_Creation,1.6.0.3,22/03/2018_14:38:17;,delete
59551,Project_Creation,1.6.0.3,22/03/2018_14:38:20;,delete
60427,Project_Creation,1.6.0.3,22/03/2018_14:40:35;,delete
59573,Project_Creation,1.6.0.3,22/03/2018_14:52:46;,delete
60450,Project_Creation,1.6.0.3,22/03/2018_14:57:46;,delete
60451,Project_Creation,1.6.0.3,22/03/2018_15:00:23;,delete
60453,Project_Creation,1.6.0.3,22/03/2018_15:01:55;,delete
59596,Project_Creation,1.6.0.3,22/03/2018_15:03:31;,delete
59598,VNSP_WF_ORDER_COLLECTION,1.2,22/03/2018_15:22:28;,delete
59599,VNSP_WF_ORDER_BUILD_REQUIRED,1.3,22/03/2018_15:25:42;,delete
60454,Project_Creation,1.6.0.3,22/03/2018_15:37:07;,delete
60463,Project_Creation,1.6.0.3,22/03/2018_15:44:58;,delete
60484,Project_Creation,1.6.0.3,22/03/2018_15:56:53;,delete
60486,Project_Creation,1.6.0.3,22/03/2018_15:56:55;,delete
59602,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_16:16:35;,delete
59609,VNSP_WF_ORDER_BUILD_PROVISION,1,22/03/2018_16:44:31;,delete
59612,Project_Creation,1.6.0.3,22/03/2018_16:53:21;,delete
59610,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_16:53:35;,delete
59616,Project_Creation,1.6.0.3,22/03/2018_16:54:19;,delete
60490,CancelNFIDProcess,1.6.8,22/03/2018_17:07:42;,delete
59640,Project_Creation,1.6.0.3,22/03/2018_17:44:35;,delete
59647,VNSP_WF_ORDER_COLLECTION,1.2,22/03/2018_17:49:09;,delete
59648,VNSP_WF_ORDER_COLLECTION,1.2,22/03/2018_17:59:53;,delete
60503,Project_Creation,1.6.0.3,22/03/2018_18:31:17;,delete
59649,Project_Creation,1.6.0.3,22/03/2018_18:32:25;,delete
60504,Project_Creation,1.6.0.3,22/03/2018_18:33:20;,delete
59651,Project_Creation,1.6.0.3,22/03/2018_21:30:48;,delete
59658,Project_Creation,1.6.0.3,22/03/2018_21:37:37;,delete
59661,Project_Creation,1.6.0.3,22/03/2018_21:56:30;,delete
